ClassId,Name,CommitId
Restuarant_Manager,Restuarant_Manager,f5f9e7901133b8ac7a9ff8d22710855df64dfe58
User,User,f5f9e7901133b8ac7a9ff8d22710855df64dfe58
UserService,UserService,f5f9e7901133b8ac7a9ff8d22710855df64dfe58
Order_Controller,Order_Controller,f5f9e7901133b8ac7a9ff8d22710855df64dfe58
User_Controller,User_Controller,f5f9e7901133b8ac7a9ff8d22710855df64dfe58
UserDBHandler,UserDBHandler,f5f9e7901133b8ac7a9ff8d22710855df64dfe58
FoodDeliveryAppApplication,FoodDeliveryAppApplication,f5f9e7901133b8ac7a9ff8d22710855df64dfe58
SpringBootDataJpAwithMySqlApplicationTests,SpringBootDataJpAwithMySqlApplicationTests,f5f9e7901133b8ac7a9ff8d22710855df64dfe58
Restuarant_Manager,Restuarant_Manager,d9cdecef99d815c9998282559cda264995da74c2
User,User,d9cdecef99d815c9998282559cda264995da74c2
UserService,UserService,d9cdecef99d815c9998282559cda264995da74c2
User_Controller,User_Controller,d9cdecef99d815c9998282559cda264995da74c2
UserDBHandler,UserDBHandler,d9cdecef99d815c9998282559cda264995da74c2
Restuarant_Manager,Restuarant_Manager,fa08ff89b6c061cc8243db51b5f6ad1168995059
User_Controller,User_Controller,fa08ff89b6c061cc8243db51b5f6ad1168995059
Restuarant_Manager,Restuarant_Manager,22c5973637a9a9559f1f243c1fbe2e37ffe85109
Rider,Rider,22c5973637a9a9559f1f243c1fbe2e37ffe85109
Rider,Rider,b525f866d4b16f9a643fee11000630da621a844e
User,User,b525f866d4b16f9a643fee11000630da621a844e
UserService,UserService,b525f866d4b16f9a643fee11000630da621a844e
User_Controller,User_Controller,b525f866d4b16f9a643fee11000630da621a844e
UserDBHandler,UserDBHandler,b525f866d4b16f9a643fee11000630da621a844e
Order,Order,fcc73dfc9af50afe43ccba31d2ce9d98d532f6b7
Cutlery,Cutlery,fcc73dfc9af50afe43ccba31d2ce9d98d532f6b7
Discounts,Discounts,fcc73dfc9af50afe43ccba31d2ce9d98d532f6b7
public,public,fcc73dfc9af50afe43ccba31d2ce9d98d532f6b7
Tips,Tips,fcc73dfc9af50afe43ccba31d2ce9d98d532f6b7
UserService,UserService,fcc73dfc9af50afe43ccba31d2ce9d98d532f6b7
User_Controller,User_Controller,fcc73dfc9af50afe43ccba31d2ce9d98d532f6b7
Order,Order,2b84352dc5db2958aba870192faf75bc7f9b925a
Order_Details,Order_Details,2b84352dc5db2958aba870192faf75bc7f9b925a
Discounts,Discounts,2b84352dc5db2958aba870192faf75bc7f9b925a
OrderService,OrderService,2b84352dc5db2958aba870192faf75bc7f9b925a
UserService,UserService,2b84352dc5db2958aba870192faf75bc7f9b925a
Order_Controller,Order_Controller,2b84352dc5db2958aba870192faf75bc7f9b925a
User_Controller,User_Controller,2b84352dc5db2958aba870192faf75bc7f9b925a
OrderDBHandler,OrderDBHandler,2b84352dc5db2958aba870192faf75bc7f9b925a
UserDBHandler,UserDBHandler,2b84352dc5db2958aba870192faf75bc7f9b925a
Order,Order,d78191a304753b4ebbc6aeb350410158ec7b285c
Order_Details,Order_Details,d78191a304753b4ebbc6aeb350410158ec7b285c
Order_Controller,Order_Controller,d78191a304753b4ebbc6aeb350410158ec7b285c
Order,Order,c14f89113ec6f8c32aca2f7f732e08d63e98bae4
OrderService,OrderService,c14f89113ec6f8c32aca2f7f732e08d63e98bae4
Order_Controller,Order_Controller,c14f89113ec6f8c32aca2f7f732e08d63e98bae4
OrderDBHandler,OrderDBHandler,c14f89113ec6f8c32aca2f7f732e08d63e98bae4
Order,Order,60d3474d553f47445c38757ffb75fc6417114223
Cutlery,Cutlery,60d3474d553f47445c38757ffb75fc6417114223
Delivery_Fee,Delivery_Fee,60d3474d553f47445c38757ffb75fc6417114223
Discounts,Discounts,60d3474d553f47445c38757ffb75fc6417114223
OrderService,OrderService,60d3474d553f47445c38757ffb75fc6417114223
public,public,60d3474d553f47445c38757ffb75fc6417114223
Tips,Tips,60d3474d553f47445c38757ffb75fc6417114223
OrderDBHandler,OrderDBHandler,60d3474d553f47445c38757ffb75fc6417114223
OrderService,OrderService,cf40aebcb4d33a0be34fd5346d70412325045a72
PaymentGateway,PaymentGateway,cf40aebcb4d33a0be34fd5346d70412325045a72
Customer,Customer,9f0d0a2212a2267eca0a4f021db698650d81ffd3
Cutlery_Decorator,Cutlery_Decorator,9f0d0a2212a2267eca0a4f021db698650d81ffd3
Delivery_Fee_Decorator,Delivery_Fee_Decorator,9f0d0a2212a2267eca0a4f021db698650d81ffd3
Discounts_Decorator,Discounts_Decorator,9f0d0a2212a2267eca0a4f021db698650d81ffd3
DeliveryOrder,DeliveryOrder,9f0d0a2212a2267eca0a4f021db698650d81ffd3
DeliveryOrderFactory,DeliveryOrderFactory,9f0d0a2212a2267eca0a4f021db698650d81ffd3
DeliveryOrder_Bike,DeliveryOrder_Bike,9f0d0a2212a2267eca0a4f021db698650d81ffd3
DeliveryOrder_Car,DeliveryOrder_Car,9f0d0a2212a2267eca0a4f021db698650d81ffd3
OrderService,OrderService,9f0d0a2212a2267eca0a4f021db698650d81ffd3
Tips_Decorator,Tips_Decorator,9f0d0a2212a2267eca0a4f021db698650d81ffd3
UserService,UserService,9f0d0a2212a2267eca0a4f021db698650d81ffd3
Order_Controller,Order_Controller,9f0d0a2212a2267eca0a4f021db698650d81ffd3
User_Controller,User_Controller,9f0d0a2212a2267eca0a4f021db698650d81ffd3
UserDBHandler,UserDBHandler,9f0d0a2212a2267eca0a4f021db698650d81ffd3
AuthenticationManager,AuthenticationManager,9f0d0a2212a2267eca0a4f021db698650d81ffd3
PaymentGateway,PaymentGateway,9f0d0a2212a2267eca0a4f021db698650d81ffd3
DeliveryOrderFactory,DeliveryOrderFactory,0a379002f8ba779416290f6bd49d53bf6ae47cc8
DeliveryRider,DeliveryRider,0a379002f8ba779416290f6bd49d53bf6ae47cc8
DeliveryStatus,DeliveryStatus,0a379002f8ba779416290f6bd49d53bf6ae47cc8
OrderService,OrderService,0a379002f8ba779416290f6bd49d53bf6ae47cc8
OrderService,OrderService,c214482fdd7c7dfd14e16ede9f3d182dc0dcaeef
UserService,UserService,c214482fdd7c7dfd14e16ede9f3d182dc0dcaeef
Order_Controller,Order_Controller,c214482fdd7c7dfd14e16ede9f3d182dc0dcaeef
AuthenticationManager,AuthenticationManager,c214482fdd7c7dfd14e16ede9f3d182dc0dcaeef
UserService,UserService,66e8b19fbdded72fc230b4b9c43c7951d2a11d76
JWTUtility,JWTUtility,1958ae7590881c9145dbc2272c878a63f57bbc19
Token,Token,1958ae7590881c9145dbc2272c878a63f57bbc19
